# RA Dec WINGS Cluster SB  eps  pa Mtype Bar weight  z  logsSFR logM Mv BV r200 logM200 D rp
10.771 -9.8528595 J004305.04-095110.3 A85 20.634000778198242 0.25599998235702515 77.0 1.2000000476837158 1.0 2.386817216873169 0.050850000232458115 -9.893200874328613 9.204038619995117 -17.8799991607666 0.7429981231689453 2.0199999809265137 14.994989395141602 2.6197893619537354 1.29692542552948
10.771 -9.8528595 J004305.04-095110.3 A85 20.634000778198242 0.25599998235702515 77.0 1.2000000476837158 1.0 2.386817216873169 0.050850000232458115 -9.893200874328613 9.204038619995117 -17.8799991607666 0.7429981231689453 2.0199999809265137 14.994989395141602 2.6197893619537354 1.29692542552948
10.618215 -9.82731 J004228.37-094938.3 A85 20.523000717163086 0.3019999861717224 37.29999923706055 -1.899999976158142 0.0 1.8900305032730103 0.0500200018286705 -9.614898681640625 9.455241203308105 -18.674997329711914 0.7299976348876953 2.0199999809265137 14.994989395141602 2.2762012481689453 1.126832365989685
10.591209 -9.822953 J004221.89-094922.6 A85 20.94099998474121 0.04500001668930054 84.4000015258789 1.2000000476837158 1.0 1.8900305032730103 0.057750001549720764 -11.304540634155273 9.706156730651855 -18.520998001098633 0.8329963684082031 2.0199999809265137 14.994989395141602 2.2295098304748535 1.1037178039550781
10.668024 -9.737975 J004240.33-094416.7 A85 19.881999969482422 0.2720000147819519 114.80000305175781 0.0 1.0 1.5823510885238647 0.05623000115156174 -11.628267288208008 10.126848220825195 -19.82699966430664 0.6829986572265625 2.0199999809265137 14.994989395141602 2.0010931491851807 0.9906402230262756
10.877009 -9.733168 J004330.48-094359.4 A85 19.115999221801758 0.07099997997283936 76.69999694824219 -1.100000023841858 0.0 1.9982655048370361 0.05057999864220619 -11.308147430419922 10.265412330627441 -20.089000701904297 0.48600006103515625 2.0199999809265137 14.994989395141602 2.47635817527771 1.2259199619293213
10.114701 -9.720117 J004027.53-094312.4 A85 18.989999771118164 0.05199998617172241 74.0 -2.0 1.0 1.5823510885238647 0.05779999867081642 -11.661005020141602 10.856414794921875 -20.854999542236328 0.8700008392333984 2.0199999809265137 14.994989395141602 2.2410922050476074 1.1094515323638916
10.5422 -9.665751 J004210.13-093956.7 A85 20.94700050354004 0.17400002479553223 78.0 -2.299999952316284 0.0 1.675041913986206 0.05519000068306923 -11.379034996032715 9.751174926757812 -18.689998626708984 1.0359973907470703 2.0199999809265137 14.994989395141602 1.5465097427368164 0.7655988931655884
10.798296 -9.637815 J004311.59-093816.1 A85 18.812000274658203 0.05699998140335083 29.0 1.7000000476837158 1.0 1.5649452209472656 0.05420000106096268 -12.25287914276123 10.793692588806152 -21.514999389648438 0.7089986801147461 2.0199999809265137 14.994989395141602 1.9668118953704834 0.9736692905426025
10.577002 -9.653471 J004218.48-093912.5 A85 20.582000732421875 0.4049999713897705 102.5999984741211 3.0999999046325684 1.0 1.675041913986206 0.0514100007712841 -10.151848793029785 9.777643203735352 -19.08700180053711 0.7010021209716797 2.0199999809265137 14.994989395141602 1.5351651906967163 0.7599827647209167
10.47264 -9.64604 J004153.43-093845.7 A85 21.400999069213867 0.26999998092651367 150.89999389648438 1.100000023841858 0.0 2.0229973793029785 0.05386999994516373 -9.53660774230957 9.094918251037598 -18.358001708984375 0.7200050354003906 2.0199999809265137 14.994989395141602 1.4282350540161133 0.7070470452308655
10.47264 -9.64604 J004153.43-093845.7 A85 21.400999069213867 0.26999998092651367 150.89999389648438 1.100000023841858 0.0 2.0229973793029785 0.05386999994516373 -9.53660774230957 9.094918251037598 -18.358001708984375 0.7200050354003906 2.0199999809265137 14.994989395141602 1.4282350540161133 0.7070470452308655
10.783769 -9.57905 J004308.10-093444.6 A85 21.197999954223633 0.11900001764297485 57.400001525878906 2.5 1.0 1.675041913986206 0.0500200018286705 -12.480457305908203 9.871962547302246 -19.30099868774414 0.6209983825683594 2.0199999809265137 14.994989395141602 1.7563902139663696 0.8695001006126404
10.454516 -9.483972 J004149.11-092902.6 A85 19.351999282836914 0.3920000195503235 145.6999969482422 -2.0 1.0 1.692047357559204 0.06145000085234642 -11.621513366699219 10.219755172729492 -19.9320011138916 0.9120006561279297 2.0199999809265137 14.994989395141602 0.7531246542930603 0.3728339970111847
10.435114 -9.440349 J004144.42-092624.7 A85 20.788000106811523 0.39899998903274536 71.30000305175781 -0.30000001192092896 0.0 1.692047357559204 0.058820001780986786 -11.481911659240723 10.292325019836426 -19.970998764038086 0.6069984436035156 2.0199999809265137 14.994989395141602 0.5803751945495605 0.28731444478034973
9.996282 -9.434437 J003959.11-092604.0 A85 20.667999267578125 0.43199998140335083 142.60000610351562 0.4000000059604645 1.0 1.5649452209472656 0.056460000574588776 -11.321454048156738 9.671823501586914 -19.53000259399414 0.6080036163330078 2.0199999809265137 14.994989395141602 1.9815455675125122 0.9809631705284119
10.414258 -9.414552 J004139.42-092452.5 A85 19.452999114990234 0.11000001430511475 55.099998474121094 -0.30000001192092896 1.0 1.710866928100586 0.05996999889612198 -12.155349731445312 10.785909652709961 -20.646997451782227 0.9249973297119141 2.0199999809265137 14.994989395141602 0.5005944967269897 0.24781906604766846
10.579993 -9.3876915 J004219.20-092315.7 A85 19.94700050354004 0.06499999761581421 123.19999694824219 -1.0 1.0 1.710866928100586 0.05816999822854996 -12.416698455810547 10.581083297729492 -20.52299690246582 0.8649978637695312 2.0199999809265137 14.994989395141602 0.6052781939506531 0.2996426820755005
